,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
AK ,72.9,72.4,73.0,73.5,73.7,74.2,73.9,73.9,74.5,74.8,75.0,75.0,75.4,75.4,75.5,75.7,75.6,75.8,76.2,76.8
AL ,72.4,72.3,72.9,73.3,73.4,73.3,73.3,73.3,73.6,73.4,73.5,73.7,73.6,74.2,73.8,73.9,73.9,74.0,74.3,74.3
AR ,73.7,73.3,73.9,74.2,74.0,74.0,73.9,74.2,74.1,74.0,74.2,74.4,74.3,74.6,74.2,74.4,74.6,74.8,74.4,74.9
AZ ,74.3,74.2,74.8,75.3,75.5,75.3,75.5,75.5,75.5,75.7,75.9,76.2,76.4,76.3,76.1,76.2,76.4,76.6,77.0,77.1
CA,74,74.3,74.8,75.0,75.4,75.2,75.1,75.3,75.3,75.3,75.4,75.8,76.1,76.3,76.3,76.4,76.6,77.1,77.4,77.7
CO,75,75.4,75.5,75.9,76.2,76.1,76.5,76.4,76.6,76.8,77.2,77.2,77.0,77.5,77.3,77.4,77.5,77.7,78.0,78.0
CT,75,74.9,75.4,75.6,75.9,75.9,75.9,76.1,76.3,76.3,76.5,77.1,77.2,77.3,77.1,77.0,77.3,77.6,77.9,78.0
DE,73,73.2,73.6,73.7,74.6,74.6,73.9,74.1,74.4,74.3,74.4,75.0,75.1,75.5,75.4,75.3,75.8,75.7,76.2,76.3
FL ,74.1,73.8,74.0,74.7,74.9,75.2,75.0,75.2,75.2,75.1,75.4,75.7,76.0,76.2,75.9,76.0,76.0,76.5,76.9,77.0
GA ,72.1,72.1,72.4,73.1,73.0,73.2,73.0,73.2,73.3,73.2,73.3,73.8,74.0,74.4,74.1,74.4,74.4,74.6,75.1,75.2
HI,76,77.1,77.6,77.7,77.5,77.7,77.9,78.1,77.8,78.7,78.2,78.2,78.7,78.7,78.6,78.9,78.7,78.8,79.1,79.3
IA ,75.7,75.8,76.1,76.3,76.3,76.7,76.4,76.9,76.8,76.8,77.1,77.5,77.4,77.9,77.6,77.6,77.6,77.8,78.2,78.1
ID ,75.4,75.2,75.3,75.7,75.5,75.8,76.4,76.0,76.4,76.2,76.8,77.2,77.2,77.4,77.2,77.4,77.6,77.7,77.8,77.9
IL ,73.0,73.3,73.6,74.0,74.1,74.4,74.4,74.3,74.6,74.4,74.6,74.9,75.0,75.4,75.1,75.2,75.3,75.8,76.4,76.4
IN ,73.6,73.9,74.1,74.5,74.5,74.7,74.8,74.6,75.0,74.9,75.3,75.4,75.5,75.8,75.5,75.6,75.5,75.9,76.1,76.2
KS ,75.3,75.2,75.4,75.7,75.9,75.9,76.2,76.2,76.5,76.3,76.7,77.0,76.7,77.2,76.8,77.1,77.0,77.0,77.4,77.3
KY ,73.0,72.8,73.3,73.6,73.4,73.8,73.7,73.8,74.0,73.9,74.1,74.4,74.5,74.8,74.5,74.7,74.8,75.0,75.0,75.3
LA ,71.5,71.6,71.9,72.3,72.5,73.0,72.8,73.1,73.3,73.0,72.9,73.1,73.1,73.5,73.0,73.4,73.5,73.8,73.9,74.0
MA ,75.1,74.8,75.3,75.5,75.5,75.5,75.6,75.7,75.9,75.8,76.4,76.8,77.0,77.0,76.9,77.1,77.4,77.7,78.1,78.2
